generation: 37 best: -1321.93 fitness: -1321.93|-1106.78|-75.6694|-118.231|-208.008|-75.6058|-124.584|-79.0332|-75.455|-89.3887|
generation: 38 best: -1321.93 fitness: -1321.93|-1106.78|-76.09|-108.599|-75.2763|-703.976|-71.7691|-139.831|-78.1476|-64.8975|
generation: 39 best: -1321.93 fitness: -1321.93|-1106.78|-74.0656|-251.999|-64.6049|-94.833|-84.5555|-135.764|-80.1316|-132.473|
generation: 40 best: -1321.93 fitness: -1321.93|-1106.78|-316.32|-82.417|-105.708|-89.8404|-105.973|-131.501|-74.7201|-77.6147|
generation: 41 best: -1321.93 fitness: -1321.93|-1106.78|-75.4458|-96.1361|-124.347|-171.03|-81.8102|-64.5963|-92.5488|-86.6645|
generation: 42 best: -1321.93 fitness: -1321.93|-1106.78|-87.6365|-64.6307|-695.94|-83.3822|-75.2307|-64.9027|-102.411|-65.2342|
generation: 43 best: -1321.93 fitness: -1321.93|-1106.78|-85.0605|-64.8582|-66.4848|-64.8691|-76.0519|-96.6382|-227.484|-65.0363|
generation: 44 best: -1321.93 fitness: -1321.93|-1106.78|-66.6746|-64.7202|-64.8163|-102.995|-123.945|-88.2272|-64.9514|-592.004|
generation: 45 best: -1321.93 fitness: -1321.93|-1106.78|-79.1966|-67.1135|-65.118|-64.4449|-86.657|-75.4309|-152.647|-73.7354|
generation: 46 best: -1321.93 fitness: -1321.93|-1106.78|-65.831|-78.8802|-64.5908|-74.9014|-75.2232|-77.7986|-90.9227|-76.8062|
generation: 47 best: -1321.93 fitness: -1321.93|-1106.78|-76.3872|-70.7172|-68.5702|-75.6473|-64.6408|-75.6037|-76.8079|-75.4446|
generation: 48 best: -1321.93 fitness: -1321.93|-1106.78|-66.0214|-80.7807|-65.071|-75.3647|-64.9419|-78.6681|-75.2963|-75.4544|
generation: 49 best: -1321.93 fitness: -1321.93|-1106.78|-75.2026|-79.3318|-64.96|-77.4912|-84.4736|-75.2991|-77.4122|-65.8078|
generation: 50 best: -1321.93 fitness: -1321.93|-1106.78|-111.9|-82.8491|-91.9922|-97.7492|-73.1833|-81.1265|-75.9252|-65.9088|
generation: 51 best: -1321.93 fitness: -1321.93|-1106.78|-79.9381|-122.939|-83.6063|-65.4722|-75.7259|-76.2469|-93.8642|-75.7063|
generation: 52 best: -1321.93 fitness: -1321.93|-1106.78|-76.4841|-79.4477|-65.284|-88.038|-75.481|-66.6213|-76.5199|-75.5626|
generation: 53 best: -1321.93 fitness: -1321.93|-1106.78|-67.5961|-100.78|-75.6571|-114.956|-79.965|-76.2366|-94.724|-75.3762|
generation: 54 best: -1321.93 fitness: -1321.93|-1106.78|-64.8169|-66.2726|-90.4445|-123.16|-75.8805|-571.867|-64.6432|-106.938|
generation: 55 best: -1321.93 fitness: -1321.93|-1106.78|-65.1078|-75.8731|-128.381|-66.7033|-76.2473|-172.856|-87.2765|-252.405|
generation: 56 best: -1321.93 fitness: -1321.93|-1106.78|-103.032|-659.493|-82.3846|-89.8919|-91.595|-75.1231|-75.2487|-83.041|
generation: 57 best: -1321.93 fitness: -1321.93|-1106.78|-508.767|-78.4905|-75.1959|-64.8129|-174.923|-75.2057|-77.1182|-76.1883|
generation: 58 best: -1321.93 fitness: -1321.93|-1106.78|-65.779|-69.8528|-103.872|-64.7184|-75.1078|-66.9707|-82.3599|-75.5732|
generation: 59 best: -1321.93 fitness: -1321.93|-1106.78|-75.2715|-64.9852|-65.6122|-69.1298|-90.5059|-65.3118|-103.801|-75.3125|
generation: 60 best: -1321.93 fitness: -1321.93|-1106.78|-1167.09|-68.2253|-76.0206|-120.318|-65.0491|-510.513|-66.6848|-77.4394|
generation: 61 best: -1321.93 fitness: -1321.93|-1167.09|-75.1819|-75.4468|-64.9686|-66.9695|-65.0868|-66.0873|-141.502|-93.8869|
generation: 62 best: -1321.93 fitness: -1321.93|-1167.09|-67.3551|-83.943|-64.4695|-74.6862|-90.778|-81.2672|-95.6908|-72.8608|
generation: 63 best: -1321.93 fitness: -1321.93|-1167.09|-66.5511|-106.007|-81.3259|-72.965|-75.4098|-64.6575|-65.2321|-94.276|
generation: 64 best: -1321.93 fitness: -1321.93|-1167.09|-108.795|-64.6344|-65.1665|-78.0049|-76.386|-65.0171|-141.548|-75.4763|
generation: 65 best: -1321.93 fitness: -1321.93|-1167.09|-64.5663|-76.0345|-242.611|-85.7099|-77.9494|-64.822|-65.62|-79.2773|
generation: 66 best: -1321.93 fitness: -1321.93|-1167.09|-76.0918|-75.5669|-1218.27|-90.2959|-105.7|-64.8909|-64.2494|-75.7043|
generation: 67 best: -1321.93 fitness: -1321.93|-1218.27|-75.3681|-80.6462|-76.4219|-78.6141|-75.1538|-67.0795|-89.5485|-77.6444|
generation: 68 best: -1321.93 fitness: -1321.93|-1218.27|-76.5222|-148.717|-75.8003|-75.1585|-95.398|-75.3686|-79.4234|-75.2495|
generation: 69 best: -1321.93 fitness: -1321.93|-1218.27|-65.4882|-78.0664|-64.6036|-76.5891|-364.142|-74.8353|-77.1714|-75.128|
generation: 70 best: -1321.93 fitness: -1321.93|-1218.27|-75.4419|-82.5747|-84.0912|-77.1133|-64.9636|-78.9993|-83.3841|-66.0866|
generation: 71 best: -1321.93 fitness: -1321.93|-1218.27|-76.6127|-65.7189|-75.3979|-65.0474|-74.9278|-93.0058|-81.3961|-76.8778|
generation: 72 best: -1321.93 fitness: -1321.93|-1218.27|-75.4593|-76.8438|-551.369|-78.5298|-64.8256|-76.6409|-64.9787|-101.186|
generation: 73 best: -1321.93 fitness: -1321.93|-1218.27|-96.9645|-64.7335|-64.8723|-75.7901|-69.1337|-65.0126|-75.2504|-75.2518|
generation: 74 best: -1321.93 fitness: -1321.93|-1218.27|-64.7571|-75.4064|-91.2337|-75.3424|-65.6943|-67.0707|-75.7142|-72.0809|
generation: 75 best: -1321.93 fitness: -1321.93|-1218.27|-611.005|-64.6753|-127.594|-75.4262|-65.3122|-70.594|-116.103|-65.6131|
generation: 76 best: -1321.93 fitness: -1321.93|-1218.27|-65.5768|-74.8971|-66.9871|-75.9196|-75.3281|-88.7664|-74.9461|-86.3592|
